物资编码,品名规格,单位,数量,行,通知供应商
157745,凝汽器阳极块.φ300*φ21*35..Zn.,只,4,1 凝汽器阳极块.φ300*φ21*35..Zn.,
157746,凝汽器阳极块.φ235*φ13*30..Zn.,只,4,2 凝汽器阳极块.φ235*φ13*30..Zn.,
